gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,Contract,MonthlyCharges,Churn,internet_fiber,TotalCharges,TenureGroup_13-24m,TenureGroup_25-48m,TenureGroup_49-72m,HighValueCustomer
0,0,0,-1.2774445836787656,0,0,0,-1.3213496211870024,1,False,-0.9955383805932801,False,False,False,0
1,0,0,0.35136996512244845,1,0,1,-1.3213496211870024,0,False,-0.5539525120857086,False,True,False,0
0,0,1,0.7992939660427822,1,0,0,-1.5207546382825785,0,False,-0.5702911892204887,False,False,True,0
0,0,0,-1.2774445836787656,1,0,1,0.37359302412539525,1,False,-0.973017501299394,False,False,False,0
1,0,0,1.4100994218432374,1,0,0,-0.4572612137728389,0,True,0.5023208853844024,False,False,True,0
0,1,0,1.4508197855632678,1,1,0,0.8388713973484064,1,True,1.6959274879603683,False,False,True,1
0,0,1,-0.38159658183809786,1,1,0,0.40682719364132464,0,True,-0.22452945417906026,True,False,False,0
1,0,1,1.6137012404433893,1,0,0,0.2406563460616778,0,False,1.2826031150372814,False,False,True,0
1,0,0,1.5322605130033284,1,1,0,1.3041497705714176,1,True,2.2081670954291512,False,False,True,1
1,0,0,-1.2774445836787656,1,0,1,-1.5207546382825785,1,False,-0.9981878958043255,False,False,False,0
1,0,0,-1.2774445836787656,1,0,0,-1.4875204687666492,0,False,-0.997746309935818,False,False,False,0
1,0,1,0.06632741908223598,1,0,2,0.6394663802528302,0,False,0.25459121315165484,False,True,False,1
1,1,1,-0.1779947632379461,1,1,1,-0.4572612137728389,0,True,-0.3759934070771573,False,True,False,0
0,1,0,-0.5851984004382496,1,1,0,0.6727005497687596,1,True,-0.33095164848938496,True,False,False,1
0,0,0,-0.7073594915983407,1,0,0,-1.4875204687666492,0,True,-0.874102266753698,True,False,False,0
0,1,0,-0.8702409464784621,1,1,2,1.0050422449280532,1,True,-0.5451207947155572,False,False,False,1
1,0,0,-0.8702409464784621,1,0,1,-0.3575587052250508,1,False,-0.744276021412472,False,False,False,0
1,0,1,-1.2774445836787656,1,1,2,0.17418800702981907,1,True,-0.9756670165104394,False,False,False,0
0,0,1,0.18848851024232702,1,0,0,0.805637227832477,0,False,0.44756423768946363,False,True,False,1
1,0,1,-0.4223169455581282,1,0,0,0.805637227832477,1,True,-0.14195289676814438,True,False,False,1
0,0,0,-1.2774445836787656,1,0,0,0.17418800702981907,0,False,-0.9756670165104394,False,False,False,0
0,0,1,-1.2774445836787656,1,0,1,-1.5207546382825785,0,False,-0.9981878958043255,False,False,False,0
1,0,1,0.5549717837226001,1,0,0,0.5065297021891128,0,False,0.6184579688018937,False,True,False,0
0,0,0,0.758573602322752,1,1,2,1.4038522791192056,0,False,1.4031560571398485,False,False,True,1
0,0,0,0.35136996512244845,1,0,0,1.3041497705714176,0,False,0.8763441160103156,False,True,False,1
0,0,0,-1.1145631287986442,1,0,0,0.10771966799796033,1,False,-0.8564388320133951,False,False,False,0
0,0,0,0.5142514200025698,1,1,0,0.805637227832477,1,True,0.7619733760668546,False,True,False,1
1,0,1,-0.13727439951791576,1,0,0,-0.15815368812947458,0,False,-0.23821861610279496,False,True,False,0
0,1,0,-0.7073594915983407,1,1,2,0.9053397363802651,0,False,-0.3971895287655207,True,False,False,1
1,0,0,1.6137012404433893,0,0,0,-0.025217010065757134,0,False,1.0282496547769202,False,False,True,0
1,0,0,0.7178532386027215,1,1,2,1.3041497705714176,0,True,1.2896684889334025,False,False,True,1
1,0,1,-0.21871512695797646,1,0,0,-1.45428629925072,0,True,-0.7561988398621764,False,True,False,0
