gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,Contract,MonthlyCharges,Churn,internet_fiber,TotalCharges,TenureGroup_13-24m,TenureGroup_25-48m,TenureGroup_49-72m,HighValueCustomer,Cluster
0,0,0,-1.2774445836787656,0,0,0,-1.3213496211870024,1,False,-0.99553838059328,False,False,False,0,2
1,0,0,0.3513699651224484,1,0,1,-1.3213496211870024,0,False,-0.5539525120857086,False,True,False,0,0
0,0,1,0.7992939660427822,1,0,0,-1.5207546382825785,0,False,-0.5702911892204887,False,False,True,0,0
0,0,0,-1.2774445836787656,1,0,1,0.3735930241253952,1,False,-0.973017501299394,False,False,False,0,2
1,0,0,1.4100994218432374,1,0,0,-0.4572612137728389,0,True,0.5023208853844024,False,False,True,0,0
0,1,0,1.4508197855632678,1,1,0,0.8388713973484064,1,True,1.6959274879603683,False,False,True,1,3
0,0,1,-0.3815965818380978,1,1,0,0.4068271936413246,0,True,-0.2245294541790602,True,False,False,0,1
1,0,1,1.6137012404433893,1,0,0,0.2406563460616778,0,False,1.2826031150372814,False,False,True,0,3
1,0,0,1.5322605130033284,1,1,0,1.3041497705714176,1,True,2.2081670954291512,False,False,True,1,3
1,0,0,-1.2774445836787656,1,0,1,-1.5207546382825785,1,False,-0.9981878958043257,False,False,False,0,2
1,0,0,-1.2774445836787656,1,0,0,-1.4875204687666492,0,False,-0.997746309935818,False,False,False,0,2
1,0,1,0.0663274190822359,1,0,2,0.6394663802528302,0,False,0.2545912131516548,False,True,False,1,1
1,1,1,-0.1779947632379461,1,1,1,-0.4572612137728389,0,True,-0.3759934070771573,False,True,False,0,0
0,1,0,-0.5851984004382496,1,1,0,0.6727005497687596,1,True,-0.3309516484893849,True,False,False,1,1
0,0,0,-0.7073594915983407,1,0,0,-1.4875204687666492,0,True,-0.874102266753698,True,False,False,0,2
0,1,0,-0.8702409464784621,1,1,2,1.0050422449280532,1,True,-0.5451207947155572,False,False,False,1,1
1,0,0,-0.8702409464784621,1,0,1,-0.3575587052250508,1,False,-0.744276021412472,False,False,False,0,2
1,0,1,-1.2774445836787656,1,1,2,0.174188007029819,1,True,-0.9756670165104394,False,False,False,0,2
0,0,1,0.188488510242327,1,0,0,0.805637227832477,0,False,0.4475642376894636,False,True,False,1,1
1,0,1,-0.4223169455581282,1,0,0,0.805637227832477,1,True,-0.1419528967681443,True,False,False,1,1
0,0,0,-1.2774445836787656,1,0,0,0.174188007029819,0,False,-0.9756670165104394,False,False,False,0,2
0,0,1,-1.2774445836787656,1,0,1,-1.5207546382825785,0,False,-0.9981878958043257,False,False,False,0,2
